oak_attestation,341
oak_attestation_types,59
oak_core,246
oak_dice,454
oak_linux_boot_params,406
oak_proto_rust,2378
oak_sev_guest,2438
oak_sev_snp_attestation_report,206
stage0,4024
stage0_dice,149
sev_serial,87
aead,857
aes,5066
aes-gcm,6412
anyhow,4014
base16ct,453
bit_field,746
bitflags,2062
block-buffer,507
byteorder,3005
bytes,5534
cfg-if,153
ciborium,4124
ciborium-io,210
ciborium-ll,784
cipher,1626
const-oid,5097
coset,8401
cpufeatures,457
crypto-bigint,9263
crypto-common,223
ctr,942
der,8564
digest,1698
ecdsa,2482
elf,8284
elliptic-curve,4745
ff,493
generic-array,1475
getrandom,1295
ghash,153
group,817
half,5067
hex,574
hkdf,669
hmac,500
inout,599
libc,109171
linked_list_allocator,1199
lock_api,2883
log,3039
opaque-debug,34
p256,2935
polyval,938
primeorder,1931
prost,2377
prost-types,2438
rand_core,876
rfc6979,188
scopeguard,315
sec1,1112
serde,10602
sha2,1850
signature,334
snafu,4459
spinning_top,584
static_assertions,266
strum,156
subtle,806
typenum,5894
universal-hash,147
volatile,346
x86_64,7107
zerocopy,6624
zeroize,940
